Subject Name:,3005_distr
Number of trials:,99
Experiment Duration:,0:04:57
Inter-Trial Interval:(sec),3
Music:, None
Device Volume:,16
Tone 1:(hz) Enabled,300
Tone 2:(hz) Enabled,800
Tone 3:(hz) Enabled,1200
Sequence:,Random Equal Number
Tone Duration:(sec),0.5
Tone Volume:,10


*Experiment Finished Normally

Trial Number,Reaction Time(ms),Tone Played,Response
1,no response,3,NA
2,no response,1,NA
3,no response,2,NA
4,no response,3,NA
5,no response,3,NA
6,no response,2,NA
7,no response,2,NA
8,1089,2,2
9,1252,3,3
10,no response,1,NA
11,no response,1,NA
12,no response,3,NA
13,no response,3,NA
14,no response,1,NA
15,no response,3,NA
16,833,2,1
17,-1882,NA,2
,-1582,NA,3
,no response,2,NA
18,no response,2,NA
19,no response,1,NA
20,no response,3,NA
21,no response,2,NA
22,no response,1,NA
23,857,2,1
24,1665,1,2
25,no response,1,NA
26,no response,1,NA
27,no response,2,NA
28,no response,1,NA
29,876,1,2
30,no response,1,NA
31,no response,1,NA
32,834,1,2
33,no response,1,NA
34,1697,3,3
35,no response,3,NA
36,no response,1,NA
37,no response,1,NA
38,no response,3,NA
39,no response,3,NA
40,1271,3,3
41,no response,2,NA
42,1793,1,2
43,1584,2,1
44,no response,2,NA
45,no response,1,NA
46,no response,2,NA
47,no response,2,NA
48,2384,3,3
49,380,1,2
50,-2055,NA,1
,-1396,NA,1
,-1071,NA,2
,-510,NA,1
,no response,1,NA
51,no response,1,NA
52,no response,3,NA
53,no response,3,NA
54,no response,2,NA
55,no response,2,NA
56,no response,2,NA
57,no response,3,NA
58,2425,3,3
59,1509,2,2
60,-605,NA,1
,no response,1,NA
61,no response,1,NA
62,no response,2,NA
63,no response,3,NA
64,no response,2,NA
65,no response,3,NA
66,no response,1,NA
67,no response,2,NA
68,1642,1,2
69,no response,1,NA
70,no response,3,NA
71,1116,2,1
72,no response,2,NA
73,no response,2,NA
74,no response,2,NA
75,no response,2,NA
76,890,3,3
77,no response,1,NA
78,no response,1,NA
79,1516,1,2
80,2268,3,1
81,no response,2,NA
82,no response,2,NA
83,no response,1,NA
84,1264,3,3
85,no response,1,NA
86,no response,3,NA
87,2708,2,1
88,no response,3,NA
89,no response,1,NA
90,1041,3,3
91,no response,3,NA
92,no response,3,NA
93,no response,3,NA
94,2413,3,2
95,no response,3,NA
96,no response,2,NA
97,no response,2,NA
98,no response,3,NA
99,1833,2,2
